size,Accuracy,1
50,0.983864697,0
100,0.986780715,1
150,0.986780715,0
200,0.987947123,1
250,0.987947123,0
300,0.987947123,1
350,0.997083981,0
400,0.997083981,1
450,0.997083981,0
500,0.997083981,1
