size,Accuracy,1
25,0.97793845,0
50,0.966073415,1
75,0.966073415,0
100,0.966073415,1
125,0.966073415,0
150,0.966073415,1
175,0.982944012,0
200,0.982944012,1
225,0.982944012,0
250,0.988876529,1
