size,Accuracy,1
50,0.982892691,0
100,0.989891135,1
150,0.99688958,0
200,0.99688958,1
250,0.99688958,0
300,0.99688958,1
350,0.99688958,0
400,0.99688958,1
450,0.99688958,0
500,0.99688958,1
